COOPID, YEAR, MONTH, DAY, PRECIPITATION, MAX TEMP, MIN TEMP, MEAN TEMP
80945,2015,9,18,0.00000,85.00000,75.00000, 
80945,2015,9,19,0.00000,89.00000,76.00000, 
80945,2015,9,20,0.00000,91.00000,76.00000, 
80945,2015,9,21,0.00000,91.00000,76.00000, 
80945,2015,9,22,0.00000,91.00000,74.00000, 
80945,2015,9,23,0.00000,89.00000,74.00000, 
80945,2015,9,24,0.02000,89.00000,73.00000, 
80945,2015,9,25,0.00000,92.00000,74.00000, 
80945,2015,9,26,0.00000,89.00000,74.00000, 
80945,2015,9,27,0.00000,87.00000,77.00000, 
80945,2015,9,28,0.49000,84.00000,76.00000, 
80945,2015,9,29,2.82000,90.00000,75.00000, 
80945,2015,9,30,0.00000,88.00000,77.00000, 
80945,2015,10,1,0.00000,86.00000,76.00000, 
80945,2015,10,2,0.00000,88.00000,76.00000, 
80945,2015,10,3,0.00000,88.00000,72.00000, 
80945,2015,10,4,0.30000,88.00000,68.00000, 
80945,2015,10,5,0.01000,81.00000,68.00000, 
80945,2015,10,6,0.00000,84.00000,70.00000, 
80945,2015,10,7,0.00000,87.00000,70.00000, 
80945,2015,10,8,1.50000,87.00000,72.00000, 
80945,2015,10,9,0.00000,88.00000,74.00000, 
80945,2015,10,10,0.06000,88.00000,73.00000, 
80945,2015,10,11,0.00000,84.00000,69.00000, 
80945,2015,10,12,0.00000,84.00000,67.00000, 
80945,2015,10,13,0.09000,86.00000,70.00000, 
80945,2015,10,14,0.00000,89.00000,70.00000, 
80945,2015,10,15,0.00000,86.00000,70.00000, 
80945,2015,10,16,0.00000,85.00000,71.00000, 
80945,2015,10,17,0.00000,83.00000,69.00000, 
80945,2015,10,18,0.00000,86.00000,67.00000, 
80945,2015,10,19,0.00000,82.00000,67.00000, 
80945,2015,10,20,0.00000,85.00000,66.00000, 
80945,2015,10,21,0.00000,84.00000,67.00000, 
80945,2015,10,22,0.00000,86.00000,70.00000, 
80945,2015,10,23,0.00000,86.00000,70.00000, 
80945,2015,10,24,0.00000,86.00000,66.00000, 
80945,2015,10,25,0.00000,87.00000,70.00000, 
80945,2015,10,26,0.00000,85.00000,71.00000, 
80945,2015,10,27,0.50000,78.00000,72.00000, 
80945,2015,10,28,0.07000,85.00000,75.00000, 
80945,2015,10,29,0.00000,87.00000,71.00000, 
80945,2015,10,30,0.00000,84.00000,68.00000, 
80945,2015,10,31,0.00000,87.00000,67.00000, 
80945,2015,11,1,0.00000,89.00000,74.00000, 
80945,2015,11,2,0.02000,89.00000,75.00000, 
80945,2015,11,3,0.00000,91.00000,73.00000, 
80945,2015,11,4,0.00000,91.00000,74.00000, 
80945,2015,11,5,0.00000,89.00000,75.00000, 
80945,2015,11,6,0.00000,88.00000,72.00000, 
80945,2015,11,7,0.00000,88.00000,71.00000, 
80945,2015,11,8,0.00000,88.00000,71.00000, 
80945,2015,11,9,0.16000,86.00000,75.00000, 
80945,2015,11,10,0.01000,81.00000,72.00000, 
80945,2015,11,11,0.00000,85.00000,70.00000, 
80945,2015,11,12,0.00000,87.00000,69.00000, 
80945,2015,11,13,0.00000,84.00000,69.00000, 
80945,2015,11,14,0.00000,79.00000,61.00000, 
80945,2015,11,15,0.00000,79.00000,61.00000, 
80945,2015,11,16,0.00000,85.00000,67.00000, 
80945,2015,11,17,0.00000,86.00000,68.00000, 
80945,2015,11,18,0.01000,87.00000,72.00000, 
80945,2015,11,19,0.06000,85.00000,74.00000, 
80945,2015,11,20,0.00000,81.00000,72.00000, 
80945,2015,11,21,1.26000,80.00000,71.00000, 
80945,2015,11,22,0.12000,81.00000,67.00000, 
80945,2015,11,23,0.00000,67.00000,50.00000, 
80945,2015,11,24,0.00000,74.00000,53.00000, 
80945,2015,11,25,0.00000,80.00000,61.00000, 
80945,2015,11,26,0.00000,81.00000,64.00000, 
80945,2015,11,27,0.00000,81.00000,65.00000, 
80945,2015,11,28,0.00000,79.00000,63.00000, 
80945,2015,11,29,0.00000,80.00000,61.00000, 
80945,2015,11,30,0.00000,82.00000,63.00000, 
80945,2015,12,1,0.00000,84.00000,68.00000, 
80945,2015,12,2,0.00000,85.00000,70.00000, 
80945,2015,12,3,0.96000,78.00000,62.00000, 
80945,2015,12,4,0.00000,74.00000,62.00000, 
80945,2015,12,5,0.00000,81.00000,66.00000, 
80945,2015,12,6,0.00000,81.00000,66.00000, 
80945,2015,12,7,0.00000,73.00000,61.00000, 
80945,2015,12,8,0.00000,76.00000,56.00000, 
80945,2015,12,9,0.00000,78.00000,63.00000, 
80945,2015,12,10,0.00000,79.00000,61.00000, 
80945,2015,12,11,0.00000,79.00000,58.00000, 
80945,2015,12,12,0.00000,83.00000,61.00000, 
80945,2015,12,13,0.02000,83.00000,63.00000, 
80945,2015,12,14,0.00000,83.00000,63.00000, 
80945,2015,12,15,0.00000,86.00000,71.00000, 
80945,2015,12,16,0.00000,84.00000,67.00000, 
80945,2015,12,17,0.00000,82.00000,70.00000, 
80945,2015,12,18,0.40000,77.00000,59.00000, 
80945,2015,12,19,0.00000,67.00000,47.00000, 
80945,2015,12,20,0.00000,77.00000,51.00000, 
80945,2015,12,21,0.00000,83.00000,51.00000, 
80945,2015,12,22,0.00000,84.00000,70.00000, 
80945,2015,12,23,0.00000,85.00000,73.00000, 
80945,2015,12,24,0.00000,85.00000,72.00000, 
80945,2015,12,25,0.00000,85.00000,70.00000, 
80945,2015,12,26,0.00000,85.00000,69.00000, 
80945,2015,12,27,0.00000,85.00000,69.00000, 
80945,2015,12,28,0.00000,86.00000,70.00000, 
80945,2015,12,29,0.00000,86.00000,70.00000, 
80945,2015,12,30,0.00000,85.00000,69.00000, 
80945,2015,12,31,0.00000,83.00000,70.00000, 
